t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0031,OK,280.45,W,155,-1422,-3
0.0694,OK,282.29,WNW,147,-1431,-9
0.1351,OK,283.79,WNW,159,-1436,7
0.1997,OK,284.85,WNW,159,-1436,7
0.2642,OK,286.62,WNW,151,-1440,-1
0.3287,OK,287.86,WNW,151,-1440,-1
0.3930,OK,288.63,WNW,150,-1439,-1
0.4580,OK,290.06,WNW,146,-1443,-7
0.5227,OK,291.07,WNW,146,-1443,-7
0.5875,OK,293.62,WNW,135,-1449,-3
0.6525,OK,295.63,WNW,136,-1451,-4
0.7171,OK,297.04,WNW,136,-1451,-4
0.7819,OK,298.33,WNW,141,-1456,6
0.8464,OK,299.24,WNW,141,-1456,6
0.9108,OK,298.91,WNW,138,-1448,9
0.9759,OK,301.21,WNW,131,-1460,6
1.0404,OK,302.82,WNW,131,-1460,6
1.1049,OK,303.41,WNW,129,-1455,6
1.1697,OK,303.30,WNW,134,-1455,8
1.2343,OK,303.23,WNW,134,-1455,8
1.2994,OK,303.73,WNW,133,-1458,8
1.3669,OK,304.08,NW,133,-1458,8
1.4319,OK,304.76,NW,133,-1461,14
1.4964,OK,305.45,NW,131,-1461,0
1.5608,OK,305.94,NW,131,-1461,0
1.6262,OK,308.71,NW,123,-1472,-1
1.6913,OK,310.15,NW,126,-1471,-11
1.7561,OK,311.16,NW,126,-1471,-11
1.8214,OK,310.86,NW,129,-1466,4
1.8884,OK,310.51,NW,129,-1465,2
1.9552,OK,310.26,NW,129,-1465,2
2.0200,OK,310.42,NW,125,-1464,-5
2.0845,OK,310.54,NW,125,-1464,-5
2.1496,OK,310.07,NW,126,-1461,1
2.2142,OK,309.12,NW,138,-1466,6
2.2790,OK,308.46,NW,138,-1466,6
2.3436,OK,309.32,NW,126,-1466,-5
2.4082,OK,310.17,NW,124,-1466,-7
2.4728,OK,310.76,NW,124,-1466,-7
2.5382,OK,311.96,NW,125,-1473,-13
2.6029,OK,312.80,NW,125,-1473,-13
2.6677,OK,310.97,NW,132,-1461,8
2.7323,OK,311.21,NW,126,-1467,-11
2.7975,OK,311.38,NW,126,-1467,-11
2.8621,OK,311.61,NW,124,-1466,1
2.9270,OK,310.85,NW,127,-1462,-9
2.9916,OK,310.31,NW,127,-1462,-9
