t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0030,OK,176.66,S,32,-998,-92
0.0688,OK,176.97,S,39,-991,-88
0.1337,OK,177.18,S,39,-991,-88
0.1983,OK,177.59,S,45,-993,-90
0.2630,OK,177.87,S,45,-993,-90
0.3277,OK,177.89,S,41,-998,-96
0.3921,OK,178.03,S,44,-1000,-104
0.4574,OK,178.13,S,44,-1000,-104
0.5220,OK,178.15,S,43,-1000,-94
0.5867,OK,177.83,S,35,-997,-86
0.6513,OK,177.61,S,35,-997,-86
0.7169,OK,177.58,S,38,-997,-92
0.7817,OK,177.56,S,38,-997,-92
0.8463,OK,177.80,S,44,-998,-110
0.9108,OK,177.62,S,36,-1000,-92
0.9752,OK,177.50,S,36,-1000,-92
1.0402,OK,178.44,S,60,-1002,-106
1.1049,OK,178.50,S,46,-1001,-94
1.1704,OK,178.54,S,46,-1001,-94
1.2353,OK,179.30,S,63,-992,-82
1.2998,OK,179.82,S,63,-992,-82
1.3642,OK,179.30,S,42,-1000,-82
1.4287,OK,179.49,S,55,-1004,-90
1.4931,OK,179.62,S,55,-1004,-90
1.5575,OK,179.93,S,60,-1001,-98
1.6220,OK,180.14,S,60,-1001,-98
1.6865,OK,180.21,S,58,-1001,-108
1.7510,OK,179.90,S,50,-1010,-98
1.8157,OK,179.69,S,50,-1010,-98
1.8803,OK,178.98,S,37,-1004,-118
1.9448,OK,179.40,S,58,-1004,-102
2.0092,OK,179.69,S,58,-1004,-102
2.0747,OK,179.20,S,42,-998,-108
2.1401,OK,178.87,S,42,-998,-108
2.2048,OK,178.05,S,29,-1005,-97
2.2694,OK,178.70,S,57,-998,-90
2.3339,OK,179.16,S,57,-998,-90
2.3989,OK,178.56,S,36,-1005,-102
2.4638,OK,177.85,S,29,-1004,-99
2.5285,OK,177.34,S,29,-1004,-99
2.5935,OK,177.55,S,42,-1007,-100
2.6581,OK,177.70,S,42,-1007,-100
2.7233,OK,177.51,S,35,-1001,-96
2.7885,OK,177.40,S,36,-1010,-98
2.8530,OK,177.32,S,36,-1010,-98
2.9175,OK,178.19,S,57,-998,-100
2.9822,OK,178.41,S,48,-1004,-94
