t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0030,OK,304.30,NW,158,-1474,2
0.0684,OK,304.30,NW,158,-1474,2
0.1340,OK,305.32,NW,155,-1481,-12
0.1989,OK,306.78,NW,150,-1484,-10
0.2634,OK,307.80,NW,150,-1484,-10
0.3280,OK,308.34,NW,146,-1479,-4
0.3930,OK,308.72,NW,146,-1479,-4
0.4578,OK,308.92,NW,154,-1485,-2
0.5224,OK,308.59,NW,152,-1479,-2
0.5885,OK,308.35,NW,152,-1479,-2
0.6532,OK,308.91,NW,150,-1484,4
0.7189,OK,308.30,NW,154,-1478,-6
0.7854,OK,307.87,NW,154,-1478,-6
0.8501,OK,308.80,NW,144,-1481,-8
0.9155,OK,309.45,NW,144,-1481,-8
0.9801,OK,310.94,NW,138,-1485,-14
1.0449,OK,314.44,NW,115,-1482,-9
1.1128,OK,316.89,NW,115,-1482,-9
1.1781,OK,319.19,NW,113,-1485,-11
1.2435,OK,323.17,NW,94,-1478,-16
1.3080,OK,325.96,NW,94,-1478,-16
1.3725,OK,332.58,NNW,72,-1483,-14
1.4371,OK,337.24,NNW,72,-1483,-14
1.5016,OK,346.93,NNW,44,-1469,-11
1.5661,OK,358.19,N,22,-1475,-28
1.6311,OK,6.23,N,22,-1475,-28
1.6967,OK,10.60,N,30,-1471,-16
1.7617,OK,10.26,N,45,-1467,-9
1.8262,OK,10.02,N,45,-1467,-9
1.8906,OK,18.21,NNE,10,-1463,-24
1.9550,OK,24.01,NNE,10,-1463,-24
2.0194,OK,22.38,NNE,39,-1453,-7
2.0838,OK,26.89,NNE,27,-1441,-3
2.1482,OK,30.06,NNE,27,-1441,-3
2.2129,OK,39.79,NE,0,-1432,-3
2.2774,OK,50.68,NE,-6,-1418,-7
2.3419,OK,58.45,ENE,-6,-1418,-7
2.4065,OK,66.44,ENE,-12,-1409,-21
2.4722,OK,72.09,ENE,-12,-1409,-21
2.5373,OK,78.78,E,-13,-1398,-8
2.6018,OK,84.77,E,-24,-1391,-20
2.6670,OK,88.99,E,-24,-1391,-20
2.7315,OK,95.13,E,-24,-1375,-8
2.7987,OK,102.04,ESE,-30,-1357,-9
2.8635,OK,106.91,ESE,-30,-1357,-9
2.9282,OK,110.79,ESE,-30,-1354,1
2.9928,OK,113.51,ESE,-30,-1354,1
3.0573,OK,115.20,ESE,-45,-1347,-16
3.1218,OK,117.58,ESE,-47,-1336,-20
3.1863,OK,119.25,ESE,-47,-1336,-20
3.2509,OK,121.11,ESE,-51,-1327,-24
3.3153,OK,123.71,ESE,-50,-1315,-7
3.3800,OK,125.52,SE,-50,-1315,-7
3.4445,OK,127.36,SE,-51,-1308,-19
3.5089,OK,128.65,SE,-51,-1308,-19
3.5733,OK,129.93,SE,-57,-1298,-15
3.6379,OK,132.06,SE,-66,-1272,-27
3.7026,OK,133.55,SE,-66,-1272,-27
3.7671,OK,134.71,SE,-68,-1268,-23
3.8316,OK,135.52,SE,-68,-1268,-23
3.8961,OK,137.43,SE,-60,-1255,-26
3.9606,OK,139.41,SE,-60,-1243,-28
4.0253,OK,140.80,SE,-60,-1243,-28
4.0908,OK,142.40,SE,-66,-1221,-26
4.1553,OK,144.05,SE,-63,-1213,-29
4.2199,OK,145.21,SE,-63,-1213,-29
4.2843,OK,146.02,SE,-63,-1213,-31
4.3488,OK,146.58,SSE,-63,-1213,-31
4.4133,OK,146.72,SSE,-65,-1216,-38
4.4778,OK,146.42,SSE,-78,-1206,-46
4.5424,OK,146.21,SE,-78,-1206,-46
4.6071,OK,147.17,SSE,-72,-1186,-39
4.6715,OK,148.12,SSE,-72,-1178,-41
4.7362,OK,148.78,SSE,-72,-1178,-41
4.8008,OK,150.22,SSE,-63,-1163,-44
4.8654,OK,151.23,SSE,-63,-1163,-44
4.9300,OK,153.14,SSE,-48,-1150,-51
4.9944,OK,155.09,SSE,-43,-1136,-39
5.0590,OK,156.45,SSE,-43,-1136,-39
5.1234,OK,158.48,SSE,-29,-1121,-42
5.1888,OK,159.29,SSE,-40,-1121,-57
5.2534,OK,159.86,SSE,-40,-1121,-57
5.3179,OK,160.80,SSE,-34,-1108,-54
5.3828,OK,161.47,SSE,-34,-1108,-54
5.4478,OK,161.94,SSE,-33,-1111,-55
5.5123,OK,162.15,SSE,-37,-1105,-58
5.5785,OK,162.30,SSE,-37,-1105,-58
5.6430,OK,161.91,SSE,-45,-1109,-62
5.7075,OK,161.96,SSE,-40,-1106,-62
5.7722,OK,161.99,SSE,-40,-1106,-62
5.8369,OK,162.64,SSE,-31,-1096,-65
5.9014,OK,163.10,SSE,-31,-1096,-65
5.9659,OK,164.44,SSE,-15,-1081,-75
6.0303,OK,165.64,SSE,-12,-1071,-65
6.0948,OK,166.48,SSE,-12,-1071,-65
6.1593,OK,168.98,S,25,-1063,-68
6.2239,OK,170.74,S,25,-1063,-68
6.2884,OK,172.57,S,36,-1047,-59
6.3529,OK,174.48,S,49,-1050,-67
6.4174,OK,175.82,S,49,-1050,-67
6.4819,OK,177.38,S,62,-1043,-67
6.5463,OK,178.81,S,69,-1040,-64
6.6108,OK,179.81,S,69,-1040,-64
6.6753,OK,179.94,S,57,-1035,-73
6.7399,OK,180.03,S,57,-1035,-73
6.8044,OK,181.12,S,79,-1035,-70
6.8688,OK,182.69,S,96,-1037,-49
6.9332,OK,183.79,S,96,-1037,-49
6.9977,OK,183.96,S,83,-1038,-80
7.0622,OK,185.01,S,103,-1039,-69
7.1267,OK,185.76,S,103,-1039,-69
7.1912,OK,186.74,S,114,-1032,-69
7.2556,OK,187.42,S,114,-1032,-69
7.3200,OK,188.68,S,132,-1028,-62
