t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0033,OK,249.34,WSW,262,-1325,-19
0.0688,OK,249.15,WSW,268,-1320,-14
0.1339,OK,249.02,WSW,268,-1320,-14
0.1995,OK,249.34,WSW,276,-1323,-15
0.2642,OK,249.44,WSW,271,-1323,-13
0.3289,OK,249.51,WSW,271,-1323,-13
0.3937,OK,249.62,WSW,276,-1322,-14
0.4586,OK,249.69,WSW,276,-1322,-14
0.5232,OK,249.37,WSW,277,-1316,-4
0.5890,OK,248.95,WSW,265,-1318,-16
0.6536,OK,248.65,WSW,265,-1318,-16
0.7181,OK,248.73,WSW,265,-1322,-18
0.7830,OK,248.77,WSW,270,-1320,-22
0.8475,OK,248.81,WSW,270,-1320,-22
0.9121,OK,248.78,WSW,273,-1318,-14
0.9766,OK,248.75,WSW,273,-1318,-14
1.0424,OK,248.48,WSW,276,-1313,-10
1.1075,OK,248.79,WSW,269,-1323,-23
1.1723,OK,249.00,WSW,269,-1323,-23
1.2369,OK,248.73,WSW,274,-1315,-16
1.3014,OK,248.90,WSW,272,-1321,-14
1.3659,OK,249.02,WSW,272,-1321,-14
1.4304,OK,249.01,WSW,279,-1317,-20
1.4950,OK,249.01,WSW,279,-1317,-20
1.5597,OK,249.42,WSW,271,-1326,-23
1.6246,OK,249.38,WSW,272,-1321,-18
1.6895,OK,249.36,WSW,272,-1321,-18
1.7543,OK,249.08,WSW,265,-1320,-14
1.8197,OK,249.16,WSW,270,-1322,-18
1.8851,OK,249.22,WSW,270,-1322,-18
1.9507,OK,249.39,WSW,275,-1322,-6
2.0174,OK,249.50,WSW,272,-1323,-17
2.0850,OK,249.58,WSW,272,-1323,-17
2.1511,OK,249.54,WSW,279,-1319,-14
2.2172,OK,249.51,WSW,279,-1319,-14
2.2844,OK,249.37,WSW,277,-1318,-14
2.3519,OK,249.51,WSW,273,-1323,-19
2.4189,OK,249.61,WSW,273,-1323,-19
2.4858,OK,249.76,WSW,276,-1323,-17
2.5520,OK,250.00,WSW,282,-1323,-7
2.6187,OK,250.18,WSW,282,-1323,-7
2.6857,OK,250.07,WSW,278,-1321,-22
2.7517,OK,250.33,WSW,278,-1326,-23
2.8177,OK,250.51,WSW,278,-1326,-23
2.8835,OK,250.60,WSW,279,-1325,-23
2.9489,OK,250.66,WSW,279,-1325,-23
