t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0028,OK,144.62,SE,-66,-1231,-42
0.0690,OK,145.24,SE,-57,-1231,-27
0.1337,OK,145.67,SE,-57,-1231,-27
0.1985,OK,145.04,SE,-70,-1232,-30
0.2634,OK,144.60,SE,-70,-1232,-30
0.3281,OK,144.92,SE,-62,-1230,-13
0.3929,OK,144.45,SE,-63,-1243,-34
0.4575,OK,144.11,SE,-63,-1243,-34
0.5222,OK,145.00,SE,-54,-1233,-21
0.5868,OK,144.92,SE,-55,-1246,-30
0.6515,OK,144.86,SE,-55,-1246,-30
0.7161,OK,145.34,SE,-52,-1240,-36
0.7808,OK,145.68,SE,-52,-1240,-36
0.8458,OK,145.62,SE,-56,-1240,-44
0.9105,OK,145.73,SE,-58,-1234,-25
0.9752,OK,145.80,SE,-58,-1234,-25
1.0398,OK,146.78,SSE,-50,-1226,-21
1.1045,OK,146.19,SE,-61,-1237,-29
1.1691,OK,145.77,SE,-61,-1237,-29
1.2353,OK,145.95,SE,-57,-1233,-29
1.2999,OK,146.07,SE,-57,-1233,-29
1.3644,OK,146.84,SSE,-47,-1234,-21
1.4314,OK,146.26,SSE,-57,-1242,-26
1.4963,OK,145.86,SE,-57,-1242,-26
1.5616,OK,145.77,SE,-51,-1247,-28
1.6263,OK,145.22,SE,-56,-1249,-24
1.6908,OK,144.84,SE,-56,-1249,-24
1.7555,OK,144.89,SE,-58,-1240,-26
1.8202,OK,144.93,SE,-58,-1240,-26
1.8849,OK,145.01,SE,-60,-1236,-33
1.9496,OK,145.68,SE,-52,-1235,-23
2.0141,OK,146.15,SE,-52,-1235,-23
2.0789,OK,146.29,SSE,-54,-1236,-23
2.1435,OK,146.75,SSE,-54,-1228,-15
2.2081,OK,147.07,SSE,-54,-1228,-15
2.2726,OK,146.43,SSE,-57,-1242,-22
2.3373,OK,145.97,SE,-57,-1242,-22
2.4018,OK,145.82,SE,-54,-1243,-28
2.4664,OK,145.94,SE,-53,-1240,-18
2.5310,OK,146.02,SE,-53,-1240,-18
2.5971,OK,145.50,SE,-59,-1243,-26
2.6619,OK,145.32,SE,-57,-1242,-18
2.7264,OK,145.20,SE,-57,-1242,-18
2.7909,OK,145.41,SE,-55,-1239,-22
2.8555,OK,145.55,SE,-55,-1239,-22
2.9200,OK,145.33,SE,-56,-1244,-16
2.9846,OK,145.28,SE,-56,-1242,-24
