t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0028,OK,233.50,SW,343,-1189,-57
0.0686,OK,233.49,SW,336,-1194,-49
0.1335,OK,233.52,SW,344,-1189,-51
0.1982,OK,233.54,SW,344,-1189,-51
0.2629,OK,233.78,SW,341,-1197,-54
0.3277,OK,233.95,SW,341,-1197,-54
0.3922,OK,233.98,SW,342,-1194,-41
0.4568,OK,233.95,SW,339,-1195,-50
0.5218,OK,233.94,SW,339,-1195,-50
0.5865,OK,234.13,SW,338,-1201,-62
0.6512,OK,234.10,SW,343,-1193,-45
0.7158,OK,234.07,SW,343,-1193,-45
0.7803,OK,234.15,SW,341,-1197,-50
0.8449,OK,234.21,SW,341,-1197,-50
0.9100,OK,234.16,SW,342,-1194,-61
0.9747,OK,234.22,SW,337,-1200,-48
1.0393,OK,234.26,SW,337,-1200,-48
1.1039,OK,234.43,SW,339,-1202,-54
1.1685,OK,234.37,SW,341,-1196,-52
1.2329,OK,234.32,SW,341,-1196,-52
1.2976,OK,234.33,SW,341,-1197,-42
1.3622,OK,234.33,SW,341,-1197,-42
1.4267,OK,234.27,SW,347,-1191,-45
1.4912,OK,234.03,SW,344,-1188,-49
1.5558,OK,233.86,SW,344,-1188,-49
1.6204,OK,234.00,SW,338,-1199,-50
1.6850,OK,233.96,SW,336,-1197,-50
1.7497,OK,233.93,SW,336,-1197,-50
1.8143,OK,234.10,SW,344,-1196,-48
1.8812,OK,234.22,SW,344,-1196,-48
1.9468,OK,234.39,SW,347,-1196,-46
2.0124,OK,234.43,SW,336,-1202,-58
2.0796,OK,234.46,SW,336,-1202,-58
2.1452,OK,234.61,SW,342,-1201,-58
2.2108,OK,234.84,SW,345,-1202,-50
2.2779,OK,235.01,SW,345,-1202,-50
2.3428,OK,234.88,SW,342,-1198,-54
2.4073,OK,235.09,SW,343,-1205,-56
2.4718,OK,235.24,SW,343,-1205,-56
2.5363,OK,235.17,SW,348,-1197,-52
2.6011,OK,235.12,SW,348,-1197,-52
2.6656,OK,234.98,SW,336,-1203,-58
2.7301,OK,234.81,SW,339,-1199,-52
2.7948,OK,234.70,SW,339,-1199,-52
2.8597,OK,234.73,SW,346,-1197,-54
2.9246,OK,234.72,SW,339,-1201,-58
2.9894,OK,234.71,SW,339,-1201,-58
