t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0028,OK,169.70,S,-19,-990,-125
0.0683,OK,169.70,S,-19,-990,-125
0.1335,OK,169.77,S,-17,-992,-117
0.1992,OK,169.68,S,-21,-989,-99
0.2642,OK,169.61,S,-21,-989,-99
0.3293,OK,169.59,S,-21,-986,-115
0.3944,OK,169.81,S,-15,-986,-115
0.4595,OK,169.97,S,-15,-986,-115
0.5243,OK,169.96,S,-17,-992,-111
0.5919,OK,169.95,S,-17,-992,-111
0.6573,OK,169.97,S,-18,-983,-107
0.7224,OK,170.29,S,-9,-990,-111
0.7875,OK,170.52,S,-9,-990,-111
0.8525,OK,170.47,S,-14,-992,-127
0.9178,OK,169.92,S,-27,-990,-117
0.9830,OK,169.53,S,-27,-990,-117
1.0480,OK,169.18,S,-28,-995,-127
1.1143,OK,168.93,S,-28,-995,-127
1.1798,OK,168.19,SSE,-41,-999,-120
1.2459,OK,166.94,SSE,-55,-1015,-124
1.3110,OK,166.05,SSE,-55,-1015,-124
1.3777,OK,164.75,SSE,-70,-1021,-125
1.4428,OK,162.91,SSE,-90,-1029,-124
1.5079,OK,161.62,SSE,-90,-1029,-124
1.5735,OK,160.29,SSE,-99,-1033,-119
1.6386,OK,158.91,SSE,-107,-1041,-103
1.7044,OK,157.94,SSE,-107,-1041,-103
1.7694,OK,156.68,SSE,-117,-1051,-113
1.8350,OK,155.80,SSE,-117,-1051,-113
1.9007,OK,155.70,SSE,-105,-1049,-101
1.9660,OK,155.41,SSE,-108,-1054,-103
2.0315,OK,155.21,SSE,-108,-1054,-103
2.0974,OK,153.57,SSE,-138,-1069,-111
2.1626,OK,151.58,SSE,-154,-1079,-109
2.2281,OK,150.19,SSE,-154,-1079,-109
2.2938,OK,148.07,SSE,-169,-1102,-106
2.3588,OK,146.58,SSE,-169,-1102,-106
2.4242,OK,144.54,SE,-174,-1130,-83
2.4896,OK,141.78,SE,-192,-1151,-90
2.5544,OK,139.85,SE,-192,-1151,-90
2.6195,OK,137.37,SE,-209,-1167,-91
2.6846,OK,134.55,SE,-212,-1193,-97
2.7497,OK,132.58,SE,-212,-1193,-97
2.8147,OK,131.29,SE,-199,-1201,-82
2.8796,OK,130.39,SE,-199,-1201,-82
2.9447,OK,129.13,SE,-200,-1215,-78
3.0108,OK,128.06,SE,-195,-1223,-82
3.0762,OK,127.30,SE,-195,-1223,-82
3.1417,OK,125.45,SE,-205,-1245,-87
3.2066,OK,123.64,ESE,-211,-1252,-83
3.2716,OK,122.37,ESE,-211,-1252,-83
3.3366,OK,121.39,ESE,-202,-1259,-65
3.4016,OK,120.14,ESE,-202,-1270,-67
3.4670,OK,119.26,ESE,-202,-1270,-67
3.5321,OK,118.69,ESE,-183,-1279,-58
3.5978,OK,118.30,ESE,-183,-1279,-58
3.6643,OK,118.58,ESE,-167,-1278,-46
3.7298,OK,117.90,ESE,-178,-1287,-49
3.7947,OK,117.43,ESE,-178,-1287,-49
3.8602,OK,116.24,ESE,-174,-1303,-47
3.9254,OK,115.25,ESE,-152,-1315,-38
3.9908,OK,114.55,ESE,-152,-1315,-38
4.0563,OK,113.53,ESE,-133,-1330,-33
4.1214,OK,112.81,ESE,-133,-1330,-33
4.1869,OK,110.59,ESE,-123,-1354,-34
4.2529,OK,107.46,ESE,-108,-1374,-27
4.3183,OK,105.27,ESE,-108,-1374,-27
4.3835,OK,101.82,ESE,-88,-1394,-26
4.4488,OK,97.40,E,-69,-1410,-23
4.5143,OK,94.29,E,-69,-1410,-23
4.5795,OK,88.65,E,-49,-1431,-14
4.6447,OK,84.67,E,-49,-1431,-14
4.7100,OK,78.22,ENE,-39,-1452,-21
4.7754,OK,72.16,ENE,-18,-1450,-1
4.8410,OK,67.89,ENE,-18,-1450,-1
4.9066,OK,62.01,ENE,-6,-1459,2
4.9718,OK,55.15,NE,15,-1454,4
5.0376,OK,50.31,NE,15,-1454,4
5.1033,OK,37.09,NE,51,-1457,-3
5.1686,OK,24.73,NNE,60,-1453,7
5.2337,OK,15.86,NNE,60,-1453,7
5.2988,OK,0.06,N,95,-1452,8
5.3640,OK,348.49,NNW,95,-1452,8
5.4296,OK,339.10,NNW,98,-1449,-4
5.4950,OK,328.13,NNW,122,-1445,6
5.5603,OK,320.29,NW,122,-1445,6
5.6255,OK,313.85,NW,129,-1444,7
5.6907,OK,307.84,NW,138,-1440,-1
5.7561,OK,303.60,WNW,138,-1440,-1
5.8214,OK,297.55,WNW,154,-1427,7
5.8866,OK,293.29,WNW,154,-1427,7
5.9517,OK,291.50,WNW,159,-1436,11
6.0173,OK,288.93,WNW,170,-1430,12
6.0830,OK,287.13,WNW,170,-1430,12
6.1482,OK,284.30,WNW,184,-1421,8
6.2142,OK,282.16,WNW,194,-1421,13
6.2801,OK,280.65,W,194,-1421,13
6.3453,OK,279.48,W,211,-1422,-9
6.4106,OK,278.65,W,211,-1422,-9
6.4756,OK,278.12,W,216,-1423,-1
6.5405,OK,277.69,W,229,-1424,4
6.6061,OK,277.39,W,229,-1424,4
6.6715,OK,275.48,W,250,-1407,-5
6.7368,OK,272.56,W,261,-1388,-10
6.8019,OK,270.51,W,261,-1388,-10
6.8670,OK,267.60,W,267,-1369,-10
6.9319,OK,264.18,W,267,-1351,-13
6.9976,OK,261.78,W,267,-1351,-13
7.0629,OK,258.97,W,279,-1332,-11
7.1281,OK,257.00,WSW,279,-1332,-11
7.1935,OK,254.65,WSW,286,-1315,-16
7.2587,OK,252.77,WSW,302,-1305,-15
7.3237,OK,251.45,WSW,302,-1305,-15
7.3887,OK,249.75,WSW,308,-1289,-31
7.4538,OK,248.32,WSW,318,-1280,-29
7.5186,OK,247.32,WSW,318,-1280,-29
7.5835,OK,245.62,WSW,321,-1259,-23
7.6484,OK,244.42,WSW,321,-1259,-23
7.7144,OK,242.75,WSW,327,-1238,-37
7.7798,OK,241.65,WSW,341,-1231,-34
7.8454,OK,240.87,WSW,341,-1231,-34
7.9105,OK,239.42,WSW,336,-1213,-56
7.9755,OK,238.14,WSW,344,-1201,-58
8.0404,OK,237.25,WSW,344,-1201,-58
8.1063,OK,236.03,SW,341,-1188,-53
8.1712,OK,235.17,SW,341,-1188,-53
8.2361,OK,234.15,SW,342,-1176,-61
8.3020,OK,233.16,SW,347,-1164,-63
8.3672,OK,232.46,SW,347,-1164,-63
8.4328,OK,231.57,SW,351,-1149,-66
8.4977,OK,230.20,SW,339,-1137,-68
8.5650,OK,229.24,SW,339,-1137,-68
8.6310,OK,228.16,SW,339,-1124,-92
8.6961,OK,226.84,SW,336,-1108,-73
8.7631,OK,225.91,SW,336,-1108,-73
8.8281,OK,224.64,SW,326,-1097,-79
8.8929,OK,223.74,SW,326,-1097,-79
8.9602,OK,222.43,SW,313,-1087,-76
9.0264,OK,221.03,SW,304,-1080,-84
9.0923,OK,220.05,SW,304,-1080,-84
9.1577,OK,218.76,SW,295,-1068,-86
9.2226,OK,218.03,SW,304,-1063,-91
9.2874,OK,217.53,SW,304,-1063,-91
9.3522,OK,216.65,SW,294,-1055,-105
9.4172,OK,216.04,SW,294,-1055,-105
9.4820,OK,215.54,SW,294,-1052,-113
9.5468,OK,214.43,SW,277,-1044,-126
9.6125,OK,213.66,SSW,277,-1044,-126
9.6782,OK,212.68,SSW,275,-1026,-124
9.7430,OK,211.94,SSW,272,-1029,-144
9.8087,OK,211.43,SSW,272,-1029,-144
9.8751,OK,210.41,SSW,261,-1014,-147
9.9408,OK,209.69,SSW,261,-1014,-147
10.0058,OK,209.02,SSW,262,-1003,-131
10.0723,OK,208.38,SSW,259,-999,-139
10.1381,OK,207.94,SSW,259,-999,-139
10.2042,OK,207.27,SSW,252,-992,-152
10.2701,OK,206.92,SSW,254,-995,-166
10.3351,OK,206.67,SSW,254,-995,-166
10.4010,OK,205.80,SSW,239,-983,-156
10.4675,OK,204.50,SSW,225,-969,-157
10.5323,OK,203.59,SSW,225,-969,-157
10.5970,OK,202.46,SSW,214,-960,-162
10.6616,OK,201.67,SSW,214,-960,-162
10.7263,OK,200.02,SSW,186,-950,-191
10.7911,OK,198.18,SSW,167,-949,-193
10.8565,OK,196.90,SSW,167,-949,-193
10.9212,OK,195.41,SSW,152,-944,-196
10.9861,OK,194.11,SSW,145,-942,-184
11.0509,OK,193.20,SSW,145,-942,-184
11.1156,OK,192.31,SSW,139,-937,-201
11.1810,OK,191.68,SSW,139,-937,-201
11.2457,OK,191.03,S,133,-936,-189
11.3104,OK,190.32,S,127,-931,-192
11.3752,OK,189.83,S,127,-931,-192
11.4409,OK,188.95,S,113,-925,-188
11.5057,OK,188.14,S,108,-919,-182
11.5705,OK,187.57,S,108,-919,-182
11.6352,OK,186.74,S,96,-919,-214
11.7000,OK,186.16,S,96,-919,-214
11.7648,OK,185.79,S,97,-918,-198
11.8298,OK,185.01,S,82,-924,-203
11.8946,OK,184.47,S,82,-924,-203
11.9597,OK,184.07,S,82,-920,-199
