t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0034,OK,177.91,S,54,-1362,18
0.0691,OK,176.41,S,51,-1367,-17
0.1340,OK,178.12,S,57,-1362,2
0.1989,OK,179.31,S,57,-1362,2
0.2637,OK,179.30,S,55,-1364,2
0.3282,OK,184.69,S,69,-1360,15
0.3928,OK,188.49,S,69,-1360,15
0.4585,OK,191.23,S,67,-1367,0
0.5236,OK,193.14,SSW,67,-1367,0
0.5884,OK,192.09,SSW,63,-1359,6
0.6530,OK,188.30,S,55,-1355,8
0.7176,OK,185.63,S,55,-1355,8
0.7823,OK,182.03,S,51,-1363,10
0.8471,OK,185.28,S,64,-1366,22
0.9117,OK,187.56,S,64,-1366,22
0.9763,OK,187.92,S,62,-1361,12
1.0408,OK,188.17,S,62,-1361,12
1.1056,OK,188.49,S,63,-1357,16
1.1700,OK,190.74,S,69,-1356,23
1.2348,OK,192.31,SSW,69,-1356,23
1.2994,OK,194.78,SSW,75,-1351,19
1.3639,OK,192.70,SSW,62,-1356,18
1.4284,OK,191.25,S,62,-1356,18
1.4929,OK,186.76,S,52,-1350,4
1.5574,OK,183.60,S,52,-1350,4
1.6219,OK,189.37,S,75,-1357,7
1.6866,OK,184.56,S,51,-1365,4
1.7513,OK,181.18,S,51,-1365,4
1.8160,OK,186.82,S,72,-1358,5
1.8806,OK,190.57,S,71,-1359,7
1.9452,OK,193.20,SSW,71,-1359,7
2.0098,OK,185.97,S,48,-1365,12
2.0744,OK,180.87,S,48,-1365,12
2.1390,OK,181.83,S,58,-1368,1
2.2037,OK,179.89,S,52,-1360,0
2.2686,OK,178.53,S,52,-1360,0
2.3333,OK,184.84,S,72,-1357,11
2.3978,OK,185.52,S,61,-1359,10
2.4622,OK,185.99,S,61,-1359,10
2.5266,OK,185.87,S,60,-1357,10
2.5909,OK,185.78,S,60,-1357,10
2.6563,OK,186.00,S,61,-1355,14
2.7209,OK,186.86,S,65,-1342,11
2.7855,OK,187.46,S,65,-1342,11
2.8503,OK,190.31,S,72,-1349,5
2.9153,OK,192.88,SSW,74,-1349,7
2.9824,OK,194.68,SSW,74,-1349,7
