t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0031,OK,208.96,SSW,255,-1040,-85
0.0685,OK,208.96,SSW,255,-1040,-85
0.1341,OK,209.33,SSW,266,-1039,-88
0.1991,OK,209.60,SSW,266,-1039,-88
0.2639,OK,209.79,SSW,265,-1041,-76
0.3286,OK,209.73,SSW,258,-1044,-76
0.3933,OK,209.69,SSW,258,-1044,-76
0.4580,OK,209.98,SSW,267,-1044,-76
0.5226,OK,210.17,SSW,264,-1048,-84
0.5872,OK,210.30,SSW,264,-1048,-84
0.6520,OK,210.26,SSW,261,-1047,-74
0.7168,OK,210.23,SSW,261,-1047,-74
0.7813,OK,210.31,SSW,262,-1050,-84
0.8460,OK,210.39,SSW,269,-1039,-72
0.9104,OK,210.44,SSW,269,-1039,-72
0.9759,OK,210.26,SSW,260,-1044,-88
1.0404,OK,210.29,SSW,258,-1055,-76
1.1051,OK,210.31,SSW,258,-1055,-76
1.1709,OK,210.37,SSW,262,-1050,-72
1.2358,OK,210.41,SSW,262,-1050,-72
1.3004,OK,210.41,SSW,263,-1047,-80
1.3649,OK,210.51,SSW,264,-1050,-74
1.4294,OK,210.58,SSW,264,-1050,-74
1.4939,OK,210.53,SSW,265,-1044,-66
1.5585,OK,210.24,SSW,256,-1047,-72
1.6230,OK,210.04,SSW,256,-1047,-72
1.6875,OK,210.14,SSW,261,-1050,-74
1.7520,OK,210.21,SSW,261,-1050,-74
1.8168,OK,210.30,SSW,258,-1057,-76
1.8816,OK,210.15,SSW,258,-1047,-84
1.9465,OK,210.04,SSW,258,-1047,-84
2.0112,OK,210.10,SSW,258,-1053,-70
2.0757,OK,210.23,SSW,263,-1049,-68
2.1403,OK,210.33,SSW,263,-1049,-68
2.2050,OK,210.38,SSW,265,-1045,-76
2.2696,OK,210.42,SSW,265,-1045,-76
2.3341,OK,210.29,SSW,255,-1055,-79
2.3988,OK,210.30,SSW,261,-1049,-76
2.4636,OK,210.30,SSW,261,-1049,-76
2.5283,OK,210.11,SSW,253,-1054,-79
2.5930,OK,209.98,SSW,253,-1054,-79
2.6576,OK,209.88,SSW,254,-1052,-93
2.7222,OK,209.90,SSW,258,-1049,-82
2.7872,OK,209.91,SSW,258,-1049,-82
2.8517,OK,209.65,SSW,255,-1041,-77
2.9163,OK,209.65,SSW,258,-1045,-76
2.9808,OK,209.65,SSW,258,-1045,-76
